texto_diario,emocion_principal,label
i didnt want to stay in this feeling of loneliness the emptiness of my prayers blank requests to a paper deity,sadness,1
i feel reluctant to sell but hey,fear,2
i am still feeling the positive effects of my visit with therapist and i feel very confident in her abilities and connections to psychologists with the necessary dr,joy,0
ill go because it warms my muscles and i always laugh in the midst of our quirky little inter generational exercise family and after six months im a regular which reminds me that ive accomplished the epic feat of no longer feeling in some way intimidated when i go to the gym,fear,2
i should not feel afraid we can stop shoulding all over ourselves,fear,2
i would not accept his love fully feeling of being damaged,sadness,1
i feel like im more hated than celebrated and i cant wait till the day i can say i made it,anger,3
i personally feel is a massively talented actor is chris evans captain america,joy,0
i wake up real life husband i feel melancholy towards day,sadness,1
i find myself feeling remarkably calm,joy,0
i didnt feel as intimidated as i had felt at the beginning of class,fear,2
i seriously still feel so insecure and dreadful that the new guy would suddenly pop back up and change things,fear,2
i feel so excited about it,joy,0
i feel pretty virtuous about it actually,joy,0
i feel frustrated for her when i read those chapters,anger,3
i feel so blessed to have been able to help,joy,0
i am feeling confident that i will be able to get to the back door before dinner time,joy,0
i feel like i should care that im a bit heartless not to,anger,3
i feel permanently heartbroken but at the same time if she were to ask me out again i would mend it right up and do it again,sadness,1
i feel so safe hearing them and knowing hows their day like and all,joy,0
i am also noticing that i can only handle so much incoming information or i start to feel overwhelmed,surprise,5
i can sink into the stillness to feel the gentle hum of that light there is pleasure in contrast,love,4
i was feelings amazed imagining how would she feel when she will get this,surprise,5
i think my body has recovered and i feel excited to go downstairs for the start of the weeks workout,joy,0
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,joy,0
i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween,joy,0
i am now feeling the onset of an unpleasant sort of tourist panic,sadness,1
i feel homesick nostalgia canaglia,sadness,1
i even feel surprised if its dark outside,surprise,5
i feel like that little boy with no sense of value perpetually doomed to keep breaking all that is valuable in life,sadness,1
i know will be less welcomed by some who feel that we need to be ferocious and brave and show the wizarding community that we will continue our work to rid england of mudbloods and half breeds and whatnot,anger,3
i feel intimidated by other girls acne getting rid of pimples,fear,2
i can run and it feels amazing,surprise,5
i recall seeing leaves falling off a tree set against a grey sky and feeling absolutely terrified,fear,2
i was wondering why i was feeling so ecstatic,joy,0
when they changed my office to another room without my agreement,anger,3
i feel if not resolved soon enough will have a damaging effect on all the hard work my girlfriend and i have put into our relationship,joy,0
i whipped my stuff up from my station and fled to the underbelly of grand central desperate to find a subway map feeling disgusted with how upset i was over my frazzle y meltdown,anger,3
i feel weird a href http bondmusings,fear,2
ive been feeling like i cant put a lot into this because hes not caring about it anyway,love,4
i have to be honest with a grandmother that passed away at i dread the idea that if i die young i wont get to do all of these things i really feel passionate about,love,4
i feel embarrassed if anyone were to stop by and see the state of my house enough that i wish i could pretend we werent even home when someone does stop by,sadness,1
i lived her life without the feeling of acceptance she felt as though trouble and misery followed her everywhere she went and that everyone hated her because of it,anger,3
i feel your pain whether you want me to or not and its pity implies that for some unfortunate people justice is not enough,sadness,1
i did feel bad because its bagel day and i accidentally had a jalapeno bagel,sadness,1
i didnt have to convince myself he was my soulmate and i feel very reluctant to use that word regarding him because my chemistry with him actually is unlike anything ive ever experienced,fear,2
i am feeling anxious that im not out watching this important game that im avoiding a bar because of an asshole who broke my heart and that im missing out meeting cute boys,fear,2
i want change but i feel like im discouraged because im living so comfortably,sadness,1
i felt humiliated and belittled me because it keyed into all of my trigger points it made me feel stupid and inarticulate and laughable and flattened about something i m passionate about knowledgeable about and see as my place in the world,sadness,1
i do not want to feel regretful because i did not stop you from smoking before so much damage was done,sadness,1
when my mother was tremendous on the phone and we talked for hours she was in a good mood,joy,0
i dont read into traditions because i love them so much so to me when a stranger opens my door i dont feel offended or like he is trying to send a message to me and the rest of the world that i cant open it myself,anger,3
i have now finished my blanket and am feeling a little free,joy,0
i did laps and now feel all virtuous,joy,0
i feel greedy with my self as of late,anger,3
i wasnt feeling at all irritated,anger,3
i stop feeling ok and started to feel pretty awesome,joy,0
ive been feeling like im on shaky quilting waters and have started questioning my work,fear,2
i feel horribly insecure about it all,fear,2
i was feeling very reluctant about the players even finding a library or sage to identify stuff for them,fear,2
i still feel guilty to this day for taking a spot,sadness,1
im trying to focus on not feeling sorry for myself and not being upset over the loss of a material possession,sadness,1
i also feel useless and unfulfilled,sadness,1
i didn t feel too hot from the swim,love,4
i feel so lame and annoying and generally unliked sometimes,sadness,1
i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,joy,0
i feel honored that the veil was lifted in that moment,joy,0
i ached so bad the bones in my toes hurt to walk and i swear i could feel my liver aching,sadness,1
i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning,joy,0
i was more annoyed with the info dump because it made the book too long but i feel i ll miss something if i skipped it which annoyed me more pages,anger,3
i feel strange pangs of loneliness or emptiness bubble up,surprise,5
i feel it is vital to get the leadership thing worked out,joy,0
i feel awful everytime ac,sadness,1
i tend to feel a bit cranky when i ve gone for a few days without making art,anger,3
i want to do with my life is an amazing feeling and i couldnt be more pleased about where my future is headed,joy,0
i feel so completely helpless to do anything to help those affected by the tornadoes that hav,fear,2
i hoped it would i would feel disappointed and depleted,sadness,1
i wear this shirt i feel artistic you are artistic but now i look artistic yes son you do,joy,0
i feel ugly to stop being lazy so i dont embarrass my friends to wear white so i could have short hair without feeling fat not that i really want short hair but still to be able to kiss someone without feeling like i have to pull away,sadness,1
having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications,anger,3
i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture,joy,0
i tried to reconcile the two feelings into one piece of music the unease and tender nostalgia present in martin s song of wwii france is different from the sharp bleeding ache i was feeling,love,4
i was actually starting to feel pretty cranky about the situation and was avoiding a lot of phone calls because i really just didnt want to talk to anyone about being late,anger,3
i can think of to quit are not based on my own needs and wants but those of others scars make other people feel uncomfortable self injury makes friends feel like they aren t offering enough support cutting is something sad teenagers do,fear,2
i feel exhausted just by writing that,sadness,1
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger,3
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,0
i feel a bit mournful since i read a bulletin of one of my myspace friends,sadness,1
im feeling a bit dazed and out of sorts like someone needs to poke me to really wake me up,surprise,5
i have gradually morphed into someone who feels superior when other peoples kids complain about dinner or dont want to eat their zucchini or are allowed to eat pop tarts or sugary cereal or white bread for breakfast,joy,0
i feel she was wronged,anger,3
i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party,anger,3
i feeling more assured of having success than ever,joy,0
i should feel ashamed,sadness,1
i feel sure a new necklace will come from this afternoon of beach combing,joy,0
i feel like life is an affectionate older sibling,love,4
i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,joy,0
i feel like im presenting myself in a less hostile manner now when i am dragged to an event or gathering full of stupid fake people,anger,3
when the paramilitary was sent to the unza and it started using tear gas and started intimidating the students without any provocation,anger,3
i understand the feeling of a writer unsure of his skill unsure of his audience wondering if he has wasted hours and hours of his life making marks on a page,fear,2
im so afraid that im bipolar because that feels too much like being like that kids i hated in th grade the kids who nearly drove me to suicide for the first time in my life,sadness,1
as a child i suffered of nightmares even since than,fear,2
i do like riding on brooms but there is something about just sitting and holding colin and feeling the wind in my hair that is quite pleasant,joy,0
i imagine being a man it s like being kicked in the nuts repeatedly that s how bad it feels you feel like you want to curl up and die a devastated schalm said after the bout,sadness,1
i went over my feelings she said i am very fearful and conflicted,fear,2
i feel like ive been defeated,sadness,1
i am thankful for the opportunity to help others feel better about themselves and i am grateful that i can help educate others on have to achieve their goals as well,joy,0
im feeling pleased and glad that other people like thaliad and want to celebrate it,joy,0
im feeling awkward every time i start a photoshoot,sadness,1
i have spoken to are so pleased with the facilities often feeling really valued for the first time with their needs being properly recognised and properly met,joy,0
i would never be able to feel like i do today buoied up by sense of peace and calm that can only come through hope,joy,0
i have so much to be thankful for so to feel jealous of a skinny girl with a seemingly disposable income who is shopping at the mall seems so,anger,3
i feel that i want what i need and know that i just need to bleed in this fucked up world of my own,anger,3
i feel like ive entered some weird universe and i really am grateful for it,fear,2
i just got this overall feel from him that he was an elitist and somewhat jaded,sadness,1
i bought myself a make up palette two months back post and today i bought items and im feeling ecstatic,joy,0
i look back on that i feel amazed that at such a young age i could just pull it together like that,surprise,5
i am feeling stressed,sadness,1
im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,anger,3
i feel bitter and jealous,anger,3
i feel shocked that my photo was chosen as the best photo of the week,surprise,5
i feel fake sharing the joyful and creative pursuits of our family,sadness,1
i walked away feeling a little dismayed but ive got a mission to carry out now,sadness,1
i am really thankful to her to get this opportunity and feeling very honoured today,joy,0
i can understand that the people here are not nice to them and that they feel isolated and alone and think this life is just not worth it anymore,sadness,1
i have no idea how i feel beyond wanting to be with my beloved,love,4
i feeling humiliated,sadness,1
i guess the trick is i need to go in strong and get what i want and not feel bashful over it,fear,2
ive got a feeling that some day it is not only me who is proud of myself but my family will be too,joy,0
i was feeling emotional i sat backstage during the two hour play and ate,sadness,1
i bought the most expensive pair of shoes ive ever owned on a whim over the weekend and i love them but i feel a remorseful pang every time i look at them,sadness,1
i was feeling a little skeptical that it would arrive on time the situation was not improved by the fact that despite various perfect party setups seeking in ffxi nobody was bothering to set them up including me but duh im lazy,fear,2
ive felt even more centered here and pleased w how things are going w out feeling complacent,joy,0
i will focus on either an infantry company or if im feeling either brave or stupid enough a motorbike company for the rest of the challenge but ill leave it until the time and see how i feel then,joy,0
i feel like my creativity is running low like a dying battery,sadness,1
i feel they are sincere in wanting to resolve these grievances,joy,0
i feel like my heart broke telling my children she continued,sadness,1
i felt good before the race but once i started to run i guess i was feeling the effects of the cold and congestion i didnt really realize i still had,anger,3
i write this very moment i feel the cold chill of,anger,3
i refers of course though i cant help feeling somehow ironically in retrospect to loudons son with kate mcgarrigle the rather talented himself rufus wainwright,joy,0
i left that meeting feeling helpless and betrayed by the very laws that are supposed to protect me and other people in this state,fear,2
i didnt feel as intimidated as i had felt at the beginning of class,fear,2
i am feeling out of balance or troubled about something i have a few guiding principles that i consider choose the highest priority,sadness,1
im shocked i feel my own little problems put into perspective and i feel heartache for the innocent lives that have been ended,joy,0
i also feel vulnerable being left on the bed in virtual silence,fear,2
i rarely consider the garments i m going to put on every day for the reason that i feel self assured that no matter what i put on my body could make these clothes look excellent,joy,0
i can see changes on my legs they have slimmed down a bit but i feel a little disheartened that its not that visible,sadness,1
i left the office feeling discouraged,sadness,1
i feel a little sad about it but christmas is hardly on,sadness,1
i just have a feeling it will be pretty in this lovely yarn and im stash busting as well which is a bonus,love,4
i feel really overwhelmed with mine,fear,2
i can live out my values instead of just being crushed by debt feeling rejected and feeling empty,sadness,1
i feel the pain but with my family and friends support make it sure that no negative thoughts overtake me,joy,0
i feel so paranoid and im really gonna cut down the hours and frequencies of me wearing contact lenses,fear,2
i even feel valuable as a person,joy,0
i wont go on about the anxieties i am feeling about this is being as neurotic as me about this,fear,2
i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets,joy,0
at school,anger,3
i feel really lucky to be part of it,joy,0
i would feel fearful of being killed by other mistresses,fear,2
i feel delighted to be a part of the so celebrated so diversified and so enchanted womanhood of which we speak too often but forget all the same more often,joy,0
i grew up i didn t feel like doing that for i knew that my parents would be disturbed,sadness,1
i know what it feels like to legitemately liked by someone that somehow got me to feel the same way which trust me takes alot i want that in my life,love,4
i always feel kind of thing empty feeling,sadness,1
i concentrated on the smell i started feeling it and knew it was the nostalgic aroma of my grand mother s home back in bhubaneswar orissa,love,4
i get the feeling that im valued have potential and am very welcome,joy,0
i remember feeling paranoid,fear,2
i feel vital full of energy every day and super positive,joy,0
i was thankful to at least feel well enough to sit with my husband and kids at the table even if it was only for minutes before i felt like passing out which carson actually accomplished into his sweet potatoes no less poor guy was sooo tired,joy,0
i know scones are not a must have food but i am determined to live a frugal lifestyle without feeling deprived,sadness,1
i know it is so disgusting horrifying i feel so dirty,sadness,1
im trying to do better with my spending but i feel so deprived,sadness,1
i detest feeling uncertain,fear,2
im feeling quite distressed about the amount of horses whose jaws are jammed shut with what i consider to be excessive nosebands along with a considerable amount of metal in their mouths,fear,2
im feeling a bit apprehensive about it as i dont know if my little note cards will stand out from the mass of talent on etsy,fear,2
i have to start my journey to these cities in the morning i feel it will be a pleasant journey i am planning to enjoy moments of it especially with my fb friend,joy,0
i still feel terrible right now as this is what happened on monday night but i needed some time to recover before sharing and have been sleeping since it happened,sadness,1
i asked feeling smug,joy,0
i am breathing well and feeling quite lively and upbeat,joy,0
ive been feeling very lethargic with the fact that i worked till plus on days that i need to pay back the hours for my lessons days and sleeping at plus every night ever since the beginning of this week,sadness,1
i want to avoid feeling disliked,sadness,1
i feel like an abused puppy dog,sadness,1
i asked how does the long grass feel he said this long grass feels lovely,love,4
i didnt feel discouraged or depressed though there are always challenges to be sure,sadness,1
i don t know but i enjoy watching movies where pain transcends on me like i can feel my heart aching or i can cry a pail of tears,sadness,1
i recently mentioned i feel savage worlds isn t doing a good job modeling the kind of story robin and i are telling in our current duet game and i m willing to experiment with another system,anger,3
i really dont like attention because i feel pressured to think about a topic and talk,fear,2
i feel like i missed out not being born into any particular religion,sadness,1
im trying to focus on not feeling sorry for myself and not being upset over the loss of a material possession,sadness,1
i still have a lot to paint on the warhound but enough of the model is now put together that i would not feel embarrassed fieldi,sadness,1
i was feeling particularly beaten up by istanbul and homesickish i passed a burger king and the door opened and the smell hit me full in the face and suddenly i was in snowpea my white nissan stanza in the drive thru of the burger king on rt,sadness,1
i feel better i dont for a little bit,joy,0
im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger,3
i didnt feel as if i was supporting the whole conference but as i pulled gunk out of the drain in one of these sinks i wondered whether the folks who once again came through to make the conference work might be feeling some frustration if they didnt do the work nothing would be done,joy,0
i feel absolutely assured in informing you that you need to get your hands on this set,joy,0
im feeling indecisive about what to do,fear,2
i feel like ive got a handle on trusting my instincts,joy,0
i feel completely numb emotionless lost,sadness,1
i feel so rotten that i need to tell myself all this is just a passing cloud that ill be laughing at years from now,sadness,1
i feel one with everything i meet even here when i return to this body out with you my beloved father indeed am beginning to realize the meaning of that unearthly love which i have sought for so long,love,4
i feel disheartened or defeated,sadness,1
arriving in new zealand as a teenager first overseas trip something exhilarating about the change of scenery etc,joy,0
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,2
i have been conveniently uninformed of the specifics of the situation i am left feeling helpless and wanting more than ever to get away,fear,2
i try so hard to help them see the joy in life i always feel i can help these damaged and empty people and each time i fail i have to accept it as their failure not mine and i have a hard time doing that,sadness,1
i wanted it to feel special for all the guests that alise and jeremy chose,joy,0
i feel pathetic and i want to push myself but the idea of chicken mince wheat free pasta rice spelt bread and fruit sorbet is quite scary,sadness,1
i forgot to take it yesterday so this morning i took two i feel super sick now,joy,0
i set off feeling fab and ran first section pretty well,joy,0
i was feeling incredibly stressed out about not getting everything done not having the right clothes stuff like that,sadness,1
i am feeling exceptionally brave and daring i may even make the corset,joy,0
i hear myself soothing in a low soft voice and i marvel at how the voice makes me feel calm and strong also,joy,0
i feel so bitchy and mean and terrible,anger,3
i feel ecstatic because no more homework,joy,0
i feeling so shitty today then,sadness,1
i have found the perfect remedy for anyone feeling stressed or conflicted about the future its the a href http www,anger,3
im really not feeling that passionate about this one,love,4
i liked that ros is not intimidated by anna s wealth and that anna doesn t feel guilt or superior about her wealth and that she enjoys it,joy,0
i am regularly in a rush and feel irritated and i dont take the time to communicate my needs or my feelings,anger,3
i strive to make it out of the between boyfriends zone and land safely into single i feel lucky to have had these incredible beginnings with incredible people,joy,0
ive stayed at a few of the trendier hotel in north america and some have a tendency to feel cool and unfriendly,joy,0
i feel quite disappointed in myself for being sucked into the charade,sadness,1
i feel like each year i teach i get more passionate about my job find more love for my kids and want to try even harder,love,4
im feeling a little impressed at their creativity,surprise,5
i always loved the blue angels and i feel so privileged and proud to be a blue angel burmeister said,joy,0
i feel at times life losses its joy and becomes empty and feelings of exhaustion over take our positive side,sadness,1
i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful,joy,0
i feel distraught and devastated,fear,2
im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear,2
i also feel its a transition piece for me still sweet and classy adding that touch to my more goth punk rebellious style im falling into lately,joy,0
i feel overwhelmed with the uncertainties of life the sorrows lurking about the fears eating at peoples peace the sad choices friends make the effects of those sad choices on loved ones broken relationships etc,surprise,5
i don t feel rejected although i admit that i used to,sadness,1
i feel so badly for his daughter thats tragic,sadness,1
i got a good feeling from the school and i have a lovely class,love,4
i feel i am wrongly punished or that my misbehavior was unavoidable i am allowed to argue over whether or not i should be punished or how severely,sadness,1
i feel like every day i grow stronger and become less needy of someone to fill that role,sadness,1
i can control is me and if people feel that i wronged them i will try my best to fix it but some people you cant make happy,anger,3
i feel all listless,sadness,1
i feel like a jaded cat whatever who doesn t ever get nervous before races because i ve just done so many and i couldn t care less,sadness,1
i really didnt feel like going to yet another womens conference it was a wonderful event and i am glad that i went,joy,0
im lying in bed feeling very anxious and have a knot in my stomach,fear,2
i cannot stop listening to feel the other cool thing about this album is the embossed feather on the cover i know you cannot see it in the picture thanks camera,joy,0
i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,joy,0
im feeling so goddamn pissed and just,anger,3
i must have been feeling a little cranky about the,anger,3
i feel satisfied only with details and small parts,joy,0
i feel that im fine without him,joy,0
i was so excited to try it considering i havent before and so many people rave about it but i didnt feel like it did anything special for my lashes i dont really like drier formula type mascaras but i prefer the wet formula ones more,joy,0
i have a lovely nesty feeling after looking at all that cute teeny weeny clothing,joy,0
i feel ecstatic every time i perfect a water sport,joy,0
i find consolation in the beauty of small things but sometimes its just not enough and i feel stupid for trying,sadness,1
ive been feeling really defeated for some reason,sadness,1
i remember then feeling bitter that i couldnt pop the balloons and join in the celebrations,anger,3
i like to do things that leave others feeling surprised and delighted,surprise,5
i am at a point where i dread anyone asking me for anything because i feel like it is just one more opportunity for me to fail at something and that is a very horrible place for me to be,sadness,1
im not being fair to xia by doing it this way if he feels frightened by the work i do it that his fault,fear,2
i can feel my stomach aching and grumbling,sadness,1
i know i shouldnt be reacting this way to it all but i cant help it and i feel terribly petty and horrid but this is the way im reacting and i have to deal with it,anger,3
i feel like hed think that was pretty cool because i certainly do,joy,0
finding out that i am not an as able student as i thought,fear,2
i was feeling especially disillusioned and unhappy allowing the last lines to make the most difference but most this is especially telling of how much my life has changed since i was fourteen how my experiences have altered my perceptions,sadness,1
i watch my friends going through changes and i feel envious,anger,3
i began to feel ok,joy,0
i love the snow lol it just makes everything feel so tranquil,joy,0
i was feeling very festive i decided to paint my nails for the holiday events,joy,0
i feel a dull aching a sharp pain in my chest an overwhelming emptiness,sadness,1
i will definitely write more about the transition as i go through it but right now i am feeling quite positive,joy,0
i feel offended when friends especially married friends somehow judge me for not being married yet,anger,3
im beginning to feel listless and a bit lonely,sadness,1
i learned from him that being rich and feeling rich are two different things,joy,0
i macendarfer who i feel thrilled to welcome into our family,joy,0
i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,fear,2
i want to shout say something dont just smile all the time touch me so i can feel that delicious feeling inside,joy,0
i ended up feeling pretty terrific about myself yesterday,joy,0
im feeling very bitter against knight in shining denim because i asked him a year ago to go to the gym with me and he wouldnt spend the money,anger,3
im starting to feel a dull pain at the front of my head between my eyes,sadness,1
ive missed over a month of training and organised etape prep rides including the etape caledonia and am generally feeling pretty pissed off and depressed about the whole affair so have avoided thinking about it,anger,3
i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,love,4
i am trying to work hard with these feelings and i understand that they have to be resolved and put behind me,joy,0
i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time,surprise,5
i was feeling remarkably calm at this point,joy,0
i get an anxious feeling i feel xox soon itll be the real thing already so i need to be flawless,joy,0
im awake as usual at am and lie there feeling reluctant until am when i get up and slink around in the dark getting dressed,fear,2
i feel so guilty sometimes that he has to share me with the challenges life has thrown our way financially emotionally and most recently medically,sadness,1
i would gladly make it on the morrow since i am not feeling well,joy,0
i feel honored or insulted,joy,0
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,joy,0
i feel like i ve given him half the responsibility of caring for my kids,love,4
i need to get in touch with what i want and how i want to feel did i mention how much i hate people caring for me,love,4
i tend to come away feeling insulted by books that deny them,anger,3
i restrain all emotion asked asked her su wen is a laugh said see us smiling at the side maybe the feeling that i am sincere concern for su wen is right,joy,0
i still feel terribly devastated,sadness,1
i seriously feel uncomfortable,fear,2
i feel uncomfortable when i wear lenses that are not brown but these lenses make me want to get more blue lenses,fear,2
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,anger,3
i ask him if he is feeling adventurous and wants to see that one since he already booked his friday and saturday nights and i already know he has church stuff on sundays,joy,0
i have the power to make another do what i want but in reality feel threatened and desire to control this other person so i am not a href https eqafe,fear,2
i have to say i feel slightly envious of julian,anger,3
i was just randomly talking about it and how i found the once more with feeling cd and listened to it and was quite eager to watch the show again,joy,0
i have been feeling crappy about myself for too long and its time for something to happen,sadness,1
i feel uncomfortable when i wear lenses that are not brown but these lenses make me want to get more blue lenses,fear,2
i would love to go into this for two reasons i care about how people feel and im a very sweet person so i think id be good at it and helping them get through it,joy,0
i feel deeply and truly content,joy,0
im being silly but i feel like a terrible mom lately,sadness,1
i feel so blessed to have both lisa and god as friends in this life,joy,0
i cant continue to be the whipping post for someone who feels lousy about themselves,sadness,1
i saw a few pianos that were either newer cheaper or larger but there was always something missing that made me feel uncertain about buying them,fear,2
i know that im carrying an obvious prejudice into all of this because of my own feelings about watching them be repeatedly tortured on this topic,anger,3
i feel as though my sub arguments are stronger and i support my claims better than i did in the beginning,joy,0
i actually begin to feel sorry for him that he has settled for someone like me for life,sadness,1
i feel no compulsion to bludgeon onlookers with how fabulous i want them to think i am because of the designer labels i was able to acquire,joy,0
i have lost touch with the things that i feel passionate about i am getting less spontaneous am living by lists urgh,joy,0
i was feeling impatient and took pills,anger,3
im most expressive when i feel distraught,fear,2
i was trying to think of anywhere else ive been that made me feel so awful awful awful,sadness,1
i feel as though i cant bear the motion of quilting it even though the idea of it delighted me so only a few days ago,joy,0
i volunteered for everything and wound up feeling overwhelmed and people got mad at me for not being able to meet my obligations,surprise,5
i was feeling annoyed suddenly,anger,3
i feel that he s really shy with his feelings because as he talked about how he felt what happened during the trip he was really nervous and i appreciate the effort to say all of that by the way,fear,2
i feel like youre ashamed to be seen with me in public because im bigger than you,sadness,1
i sit here feeling annoyed at my sons my pets and my husband im also trying to think of something to feel grateful for this saturday,anger,3
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,joy,0
i feel unsure or scared i talk,fear,2
i no longer feel timid or insecure when i walked,fear,2
i think is i told my dad and now he feels skeptical about us,fear,2
when india lost the benson and hedges cricket trophy,sadness,1
i feel them gnawing out holes all throughout my flawless soul,joy,0
im starting to feel that im suffering from fatigue,sadness,1
i know these feelings premonitions and so on could simply be the product of my own troubled subconscious grabbing my conscious attention for a bit,sadness,1
i was feeling drained before i even sat in the chair,sadness,1
i always seem to have some kind of life upheaval or additional work stress that makes it hard to feel thrilled about the upcoming holidays,joy,0
i feel shamed and insulted,sadness,1
i just feel like you got to pay to play sweetheart because i dont know not one person in my life that has been faithful,joy,0
i really dont think he looks at my blog too often so i feel pretty safe posting it this layout is full of a href http www,joy,0
i have a feeling his idea of keeping me entertained differs ever so slightly from mine jonny you,joy,0
i feel like a babysitter of year olds who act like naughty year olds,love,4
i rarely consider the garments i m going to put on every day for the reason that i feel self assured that no matter what i put on my body could make these clothes look excellent,joy,0
i feel super glued to my bed,joy,0
i started to open up about it i started to feel more like myself the stephanie who isn t embarrassed by life s setbacks who tackles difficult situations with humor and honesty,sadness,1
i feel deprived of an opportunity to see victoria take the rubies out for the first time,sadness,1
i feel like they are a second family and they all are so supportive and love little miss rylin,love,4
i found myself feeling fairly ignored sort of taken for granted you know,sadness,1
im feeling abit grouchy with kim,anger,3
i feel overwhelmed and i want to forget it all,surprise,5
i feel a little like tom daley who was rightly ecstatic with his bronze medal i also feel that those delightful ladies from the wi really need to fucking lighten up a bit,joy,0
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy,0
i feel generous sometimes and feed a little of those savings to the birds,love,4
i dont think thats what ill do because i feel its just really awkward,sadness,1
i am not feeling very clever or creative,joy,0
i feel creatively inspired,joy,0
i feel thrilled regretful and alarmed by these changes even the fireflies dwindle to black as we speak with the b,joy,0
i feel less and less the feeling of fear and being afraid and scared,fear,2
i want to feel like i m reading something worthwhile,joy,0
i like the idea of wearing things that are comfortable and make me feel cute,joy,0
i feel like a hot mess,love,4
i only will uploading photos which i feel so sweet to share with all of you lovers,love,4
i read of my friends good news and have an unexplained feeling of melancholy what s up with that,sadness,1
im weary i feel burdened and i could definitely use some rest,sadness,1
i often feel that everything around me is so vain and purposeless,sadness,1
i am feeling very eager for what my darling has in store for us,joy,0
i really feel like is mostly the culmination of starting to play more clubs and wanting to make more dancefloor friendly stuff and having stuff that has a certain tempo range that fits nicely in that setting,joy,0
i know that sounds really recycled and generic but its actually how i feel i love to sing and would more than love to make a living doing that but im going to school because i know that its not in the cards for all the talented people in the world to make it in the music business,joy,0
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger,3
i feel impressed to discuss sin again though i do not know why,surprise,5
i press play and yeah i watch my movie about five times in a row right then and there i feel satisfied and cant wait to share what i made with my friends,joy,0
i couldn t help but feel like this was warsaw in a nutshell gorgeous spaces with dark shadows that sometimes creep up on you but that are never around for long before the sun returns to push them back again,joy,0
i feel creatively inspired,joy,0
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger,3
i never want her to feel the pain of struggle of suffering,sadness,1
i left that appointment feeling really bummed that the option of a vbac had been snatched from me but also sort of content with the fact that i had prayed for and possibly received a sign of gods will for this birth,joy,0
i feel that thursday was the important first step that is needed towards helping e get better with her eating,joy,0
i am too dazed confused and too drowned in what women looks for looks wise in a man and feel that i am doomed if i can t aspire to these,sadness,1
i have a feeling its because i was never that friendly,joy,0
i keep having all of these wonderful feelings and dreams and i am so terrified that they are bad or harmful or wrong but they are not,fear,2
i feel it is so important to support them with that extra money so they are able to go to a pub for a drink or anywhere else they wish to,joy,0
im heartbroken about in love with the world but i think maybe im feeling heartbroken so acutely is it came to me today that every time ive been asked to stay somewhere in the past years or so ive left,sadness,1
i feel pretty weird blogging about deodorant but im a bit of a deodorant snob and find it really hard to find a good one,fear,2
i feel fine read the rest,joy,0
i have to mention that i feel slightly unhappy because i have yet to get back any of my prelim papers maths aside and because of that ive been feeling stuck in limbo for the last weeks because i cant really start studying properly until i get back my papers,sadness,1
i love the snow lol it just makes everything feel so tranquil,joy,0
i feel supportive over chinas copyright violations if only for machiavellian reasons,love,4
i cannot feel more sincere,joy,0
i feel like its my fault for letting the vampire in and constantly running into them trusting them befriending them etc,joy,0
