texto,real,pred_base,pred_finetuned,pred_frozen
i forgive myself that i have accepted adn allowed myself to feel uncertain and inferior the moment someobdy is looking at me as i do physical labour,fear,fear,fear,sadness
i am feeling a little dissatisfied with my pictures for the last couple of months,anger,fear,anger,joy
im a creature of habit and major life changes always leave me feeling sort of dazed confused and occasionally sad and grumpy,surprise,fear,surprise,sadness
i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off,sadness,fear,sadness,sadness
i feel pretty honored to be around some really great moms and women,joy,fear,joy,joy
i feel like that when i try to try on relationship traditions that i and the people i care about get damaged,sadness,fear,sadness,sadness
i woke up feeling listless and dehydrated from a weekend that included a strip club tackle football hours of binge drinking and a hockey game so i decided not to go to work,sadness,fear,sadness,sadness
i feel really horny when i wear them they hug my c k balls really nicely,love,fear,love,joy
ive been on a bike and this bike it feels kind of strange,fear,fear,fear,joy
i was feeling determined it didnt take long for me to start nomming on naughty stuff again,joy,fear,joy,sadness
im feeling determined to face facts have a gander at my donut a href http,joy,fear,joy,joy
i got an a in anatomy the first one i have ever gotten in a science class here,joy,fear,anger,joy
i am really not expecting it somehow it made me feel shy but then it s been a while part,fear,fear,fear,joy
i don t want this to end just like i didn t want the series rock chicks to end but i feel like ka will keep on bringing us amazing stories with wonderful women and sexy men,joy,fear,joy,joy
i feel highly burdened and incapacitated by my stupid flaring legs,sadness,fear,sadness,sadness
i met people from every corner of the globe so now when i am feeling restless and my finances will allow me i am can pick a spot see people that i really care about and have an adventure with them in their homelands,fear,fear,fear,joy
i get through feeling weepy about it sometimes i get resentful about it,sadness,fear,sadness,sadness
i want to enjoy this and feel successful,joy,fear,joy,joy
i feel in the tragic case of the woman who was raped though hard may it be the baby should be put up for adoption if the woman cannot bear to keep him her,sadness,fear,sadness,sadness
ive continued to feel energetic most of the time and am trying to keep up my times of working out per week did the jillian workout this week and was very sore,joy,fear,joy,joy
i feel also just drained,sadness,fear,sadness,sadness
i can even say my opinion on something without him feel offended,anger,fear,anger,sadness
i walk around the farm i always feel so peaceful i end up smiling from the sheer beauty and rightness of everything,joy,fear,joy,joy
i feel so honoured so have been allowed to write my story and,joy,fear,joy,joy
i was thinking about how you all were watching general conference and i was feeling a bit jealous,anger,fear,anger,sadness
i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i ll have found the courage to do it by the time it comes round and i always have so far,fear,fear,fear,joy
i have also known the pain of feeling worthless too broken too scarred to ever span style mso bidi font size,sadness,fear,sadness,sadness
i feel like i ve been put in a bag and shaken up but otherwise ok,fear,fear,fear,sadness
i feel kind of talented right now lol hmmm,joy,fear,joy,joy
i feel more than ever that the computers i pour code and art into are extensions of myself and thats pretty goddamned cool in my book but i am hopelessly romantic about creativity and prone to fits of stereotypical artist bullshit so grain of salt,joy,fear,love,joy
i still feel devastated and disconsolate,sadness,fear,sadness,sadness
i sat with dave atell at first trying not to feel rude while the guys were eating,anger,fear,anger,joy
i become aware that i m feeling impatient and thinking things are not going fast enough i can choose to change my thinking and remind myself that god s timing is perfect,anger,fear,anger,joy
i am feeling clever i see something like this and realize,joy,fear,joy,joy
when i learnt that i had been accepted at the medical school,joy,fear,joy,joy
i feel like the only intelligent person here right now,joy,fear,joy,sadness
i feel super behind in all aspects of my life i need to read,joy,fear,joy,sadness
ive been holding onto that are making me feel rotten,sadness,fear,sadness,sadness
i just feel really needy,sadness,fear,sadness,sadness
i can have many kids but if there are too many my strength would not be sufficient and my wife would feel burdened,sadness,fear,sadness,joy
i actually feel solidarity with the americans who went on to cry for blood in iraq tortured prisoners and the stripping of the bill of rights,fear,fear,anger,sadness
i really had prepared ourselves for the worst but we both had the innate feeling that everything was fine,joy,fear,joy,joy
i feel less intimidated with her here to help,fear,fear,fear,joy
im feeling very bitter against knight in shining denim because i asked him a year ago to go to the gym with me and he wouldnt spend the money,anger,fear,anger,sadness
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,sadness,fear,sadness,sadness
i feel impressed to talk to my older children about my vision for our family and enlist their aid in accomplishing it,surprise,fear,surprise,joy
i am just tired of feeling abused by everyone,sadness,fear,sadness,sadness
i am angry that my employers do not invest in us at all training pay increases bank holidays and it feels like injustice so i feel helpless,fear,fear,fear,sadness
i dont feel inhibited and i can work out my problems,sadness,fear,sadness,joy
i am feeling melancholy sad depressed ok even angry that this is my second year without my oldest and youngest daughters klysta passed days ago andrea has chosen to not be with her family,sadness,fear,sadness,sadness
i feel peaceful like i shall grow wings and fly away,joy,fear,joy,joy
i feel super bad about it,joy,fear,sadness,sadness
i feel thompson needs to work on then again i m not exactly impressed by flash and fluff,surprise,fear,surprise,joy
i was so traumatised by the pestilence that i was feeling quite delicate and couldnt cook so we had to buy expensive and unhealthy convenience foods from the supermarket in order to avoid starvation,love,fear,love,sadness
i have a lovely nesty feeling after looking at all that cute teeny weeny clothing,joy,fear,joy,joy
i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,love,fear,love,joy
i have a small history of hiding when i feel awkward,sadness,fear,sadness,sadness
i cant find it in my heart to feel the least bit disappointed for having missed it,sadness,fear,sadness,sadness
i feel my repressed emotions surfacing im glad for the solace i can seek in my writing,sadness,fear,sadness,sadness
i am feeling rather triumphant that i decided to disagree with davids notion that the real peak was further on and decided to give the side trail a chance,joy,fear,joy,joy
i feel im getting less and less vigorous,joy,fear,joy,joy
i answer feeling clever again,joy,fear,joy,joy
i was feeling a little skeptical that it would arrive on time the situation was not improved by the fact that despite various perfect party setups seeking in ffxi nobody was bothering to set them up including me but duh im lazy,fear,fear,fear,joy
i still feel so irritable every day,anger,fear,anger,sadness
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy,fear,joy,joy
i stopped feeling so exhausted a href http provokingbeauty,sadness,fear,sadness,joy
i will close my eyes and recite the following mantra every day and whenever i m feeling unsure frustrated or shiftless with my progress towards my top body,fear,fear,fear,sadness
i feel like im not as stubborn,anger,fear,anger,joy
i can make them laugh out loud i feel a keen sense of accomplishment,joy,fear,joy,joy
i feel it was perfect as a jumping off point for what is to come,joy,fear,joy,joy
i feel remorseful but i am not ready to die and i do not look in the mirror,sadness,fear,sadness,sadness
i don t mean to behave so cut off but i feel so lethargic to utter one single word to anyone,sadness,fear,sadness,sadness
i feel like i didnt need to grasp onto something comfortable that i was capable of trying something new,joy,fear,joy,joy
i feel more hostile towards sarcoidosis than usual,anger,fear,anger,sadness
im feeling energetic and motivated with my kids the days can move so slowly,joy,fear,joy,joy
im feeling awfully spiteful right now,anger,fear,anger,sadness
i tell mummy that my stomach really not feeling well i really wanna go to toilet mummy ask me keep on eating,joy,fear,joy,joy
im feeling quite positive at the moment,joy,fear,joy,joy
i am happy to be feeling well enough to be back on the blogging scene,joy,fear,joy,joy
i just have a general feeling of this unpleasant heaviness from my stomach up,sadness,fear,sadness,sadness
i tend to stop breathing when i m feeling stressed,sadness,fear,sadness,sadness
im feeling lucky button on google,joy,fear,joy,joy
i feel bitter theofilou said of the lack of support to nods of agreement by kastrioti who waited for her turn to board,anger,fear,anger,joy
i am generally a pretty happy and positive person there are times when the nerves kick in and i am not feeling quite so happy and smiley,joy,fear,joy,joy
i love running because i feel strong and powerful and totally in control,joy,fear,joy,joy
i won t feel so shy and ashamed about it,fear,fear,fear,sadness
i feel very passionate about my future career choices within the video gaming industry,joy,fear,love,joy
i start to feel groggy as if i have been drugged,sadness,fear,sadness,sadness
i still have a lot of my normal symptoms sore boobs constant peeing irritability and irrational feelings a superior sniffer and gag reflex etc,joy,fear,anger,sadness
i feel resentful and irritable,anger,fear,anger,sadness
i feel horrible most of the time,sadness,fear,sadness,sadness
i feel very nervous,fear,fear,fear,joy
i feel romantic when i wear it under my raphael coat,love,fear,love,joy
i had this crazy idea that all of that water slogging around in my stomach would make me feel crappy so i kept my sips to an absolute minimum,sadness,fear,sadness,sadness
ive been feeling a bit discontent with my music for a while now,sadness,fear,sadness,sadness
i stop feeling so depressed and,sadness,fear,sadness,sadness
i went to bed late last night and feel sort of groggy this morning,sadness,fear,sadness,sadness
i leave the nursing home each week feeling so joyful and ready to come back again,joy,fear,joy,joy
im not sure why i even bothered to open this website let alone this feature but as expected its left me feeling boring poor and,sadness,fear,sadness,sadness
i can t help but feeling weird when opening every closet in an apartment that somebody s still living in so i didn t,fear,fear,fear,sadness
i feel a bit strange publishing these beautiful photos,fear,fear,fear,joy
im feeling really stressed at work too because theyre piling so much stuff for me to do and expect me to do all this creative stuff or decorate or make this,anger,fear,sadness,joy
i think i could manage one team in jacksonville without feeling too dirty,sadness,fear,sadness,sadness
i am feeling needy needing you so needing your love by the grove,sadness,fear,sadness,joy
i would like a lazy immersed in my boring feeling i like the friends have a pleasant talk together and boring,joy,fear,joy,joy
im not crossing things off ever growing to do list i feel like i keep making stupid silly mistakes in all areas of my life amp im just tired,sadness,fear,sadness,sadness
i feel very dissatisfied with myself,anger,fear,anger,sadness
i feel like when ever i start to feel happy for a consistent amount of time it all has to end,joy,fear,joy,sadness
i feel so relieved but at the same time i feel so lost,joy,fear,joy,sadness
i feel when i just out from my dorm and began to breath a pleased liberty,joy,fear,joy,joy
i feel rejected by someone then what part of myself am i rejecting,sadness,fear,sadness,sadness
i feel ugly right now im still happy,sadness,fear,sadness,sadness
i feel drastically inadequate for the needs i feel swirling around me,sadness,fear,sadness,sadness
im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless,fear,fear,fear,joy
i am a happily married man shows me his wedding ring and i swear i am not hitting on you but i just feel this sweet energy from you like i know you but i dont know you right,joy,fear,love,joy
i also intended to study but that didn t happen either so here i am feeling a little less virtuous amp holier than thou than i would if i had actually done something constructive over the past week,joy,fear,joy,sadness
i will feel as though i am accepted by as well as comfortable being around both sides of my family,love,fear,joy,joy
im feeling a little stressed out about it but i cant do much right now because im waiting for a couple of tax returns in the mail and a letter from jasons employer which is taking quite some time,anger,fear,anger,joy
i feel a strong connection with another human being and i want to spend more time with her,joy,fear,joy,joy
i want to feel all year long that lovely warm tingle that october brings,love,fear,love,joy
i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,fear,fear,fear,joy
i feel deeply pleased as my hand plane takes off thin shavings of wood with a precision that is truly marvellous,joy,fear,joy,joy
i find myself crying over loosing everything that i have everything that i am not really proud of and i feel such a loyal connection to what s around me,love,fear,love,sadness
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy,fear,joy,joy
i can look at a stack of twenty five term papers and not feel overwhelmed,surprise,fear,surprise,sadness
i feel naughty and dirty sometimes but this gives me certain pleasure so why not,love,fear,love,sadness
i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,fear,fear,surprise,sadness
i feel angry at him for being so selfish and giving me absolutely nothing to go on,anger,fear,anger,sadness
ive fallen asleep embracing a person but never a book and we both woke up this morning feeling kind of awkward about it,sadness,fear,sadness,sadness
i feel paranoid like we just stepped into a private club where everyone knows each other and we are standing out like nudists at a suit convention,fear,fear,fear,joy
i do feel lonely at times and at times i still feel that i am alone,sadness,fear,sadness,sadness
i think that it is the one site that has truly made me hella smile and feel reassured that there are morally good and kind individuals in this world,joy,fear,joy,joy
i may be starting to feel paranoid or maybe insecure but im just a mere human being who yearns to be loved to be cared of and to be noticed,fear,fear,fear,sadness
i was not feeling respected by him,joy,fear,joy,sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,fear,fear,sadness
i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,joy,fear,joy,sadness
i feel that i shouldnt be his back up a rel nofollow target blank title girlfriend href http eepctqlhiafjwnrrmas,sadness,fear,sadness,sadness
i want to feel respected even when i do things that you don t understand,joy,fear,joy,sadness
i feel less respected less,joy,fear,joy,joy
i feel respected and what i have to say matters,joy,fear,joy,joy
i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,love,fear,love,joy
i am feeling rather thrilled,joy,fear,joy,joy
i find myself buying into and reacting to the conflicts of modern life more than i did before and feeling more jaded,sadness,fear,sadness,joy
i just remember feeling frantic desperately trying to say what i needed to say to q,fear,fear,fear,sadness
i feel so agitated about this,fear,fear,anger,sadness
i had to preform a few poems to the class so i will feel confident when i preform,joy,fear,joy,joy
i feel horrible most of the time,sadness,fear,sadness,sadness
i was up to tackling some exercise in the backyard shed late in the morning and then had my breakfast the burden on my system was such that i began feeling lethargic and i scotched an intended shopping expedition for a second consecutive day,sadness,fear,sadness,sadness
i feel troubled i guess would be the best word for it,sadness,fear,sadness,sadness
i have told her many times as well as given her gifts that say exactly how i feel about my precious girl,joy,fear,joy,joy
i admit is inexcusable giving you to feel slightly naughty bestial heck macho even,love,fear,love,sadness
i then wonder if the girl does want to marry me and contemplate that feeling slightly disheartened,sadness,fear,sadness,sadness
i have gradually morphed into someone who feels superior when other peoples kids complain about dinner or dont want to eat their zucchini or are allowed to eat pop tarts or sugary cereal or white bread for breakfast,joy,fear,joy,sadness
i do eat rawly goodness i feel radiant,joy,fear,joy,joy
i feel myself getting pissed off at the tiniest things all the time,anger,fear,anger,sadness
i feel like such a confused person lately sigh,fear,fear,fear,sadness
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,anger,fear,anger,sadness
i understand where they are coming from and why they feel the way they feel and i respect that they have the strength to say what they believe however popular or unpopular it is,joy,fear,joy,joy
i was worried that it would be awkward and i would feel lonely,sadness,fear,sadness,sadness
i did something to my back after moving my piano this week im not hercules just terribly stupid so i was feeling a bit miserable for myself this morning and then this turned up in the post,sadness,fear,sadness,sadness
i feel all funny just thinking about it,surprise,fear,surprise,joy
i didnt feel too groggy from the wine at a href http tartandheathered,sadness,fear,sadness,joy
i left that meeting feeling helpless and betrayed by the very laws that are supposed to protect me and other people in this state,fear,fear,fear,sadness
i feel very graceful today,joy,fear,joy,joy
i feel like this is something i can do well and its helped me out of tough spots before,joy,fear,joy,joy
i feel pathetic at times because,sadness,fear,sadness,sadness
i am such a private person and although i won t be going into anything too personal i m feeling anxious just writing this,fear,fear,fear,sadness
i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here,love,fear,love,joy
i feel a bit more confident about them now so heres a gorgeous pair of cream amp lemon shorts i recently purchased in the warehouse sale for,joy,fear,joy,joy
i was feeling pretty well in mid october,joy,fear,joy,joy
i am feeling a little dissatisfied with my pictures for the last couple of months,anger,fear,anger,joy
i feel a bit foolish even bothering to post anything on fridays,sadness,fear,sadness,sadness
i tell that to has some story about someone who had an awful time conceiving baby but then baby was easy peasy and that just doesnt help me feel better at all,joy,fear,joy,sadness
i was feeling nostalgic about those days where i officially belonged to this city after getting married to shubhi in feb,love,fear,love,joy
i just feel so safe,joy,fear,joy,joy
i wish i could open up to people not feel so terrified of reactions and opinions,fear,fear,fear,sadness
i have no money to sort any of it out and i feel very messy,sadness,fear,sadness,sadness
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,anger,fear,anger,sadness
i was really feeling crappy even after my awesome week of workouts,sadness,fear,sadness,sadness
i really enjoyed giving my class one because i knew all the answers and got to feel clever all day and two because it you don t often get a chance to play with these sort of things in training sessions and it was nice to spend time with everyone as new groups came through throughout the day,joy,fear,joy,joy
i was back at the gym doubling up on classes and feeling quite well not perfect but nowhere near how i was earlier in the year,joy,fear,joy,joy
i just feel resentful and show my resentment by eating tempura and sundaes,anger,fear,anger,sadness
i feel like copying the handsome boy say yay so fun,joy,fear,joy,joy
i feel listless i cant do anything of it,sadness,fear,sadness,sadness
im feeling a craving for a naughty sweet snack this is what i choose,love,fear,love,joy
i still need to feel listened to even if iam idiotic and naive in relation,sadness,fear,sadness,sadness
i feel very happy to have inspired is my little sis love of reading and writing,joy,fear,joy,joy
i am feeling somewhat melancholy over that,sadness,fear,sadness,sadness
im spending every day waiting to hear from you and feeling like an idiot for caring,love,fear,anger,sadness
im old enough that graduation and yk feels like just yesterday i find myself a bit stunned by this,surprise,fear,surprise,joy
i get lucky often and most things work out for my benefit but at the same time i feel that i can accept being unfortunate once in a while,sadness,fear,sadness,joy
i have an awesome husband i got to lay in bed for two days straight which i think is directly linked to the fact that im already feeling much better,joy,fear,joy,joy
i did feel scared now,fear,fear,fear,joy
i know that s wrong but i feel ugly,sadness,fear,sadness,sadness
i feel completely shaken up,fear,fear,fear,sadness
i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,joy,fear,joy,joy
i doubt anyone is if they are entirely honest with themselves and thats ok because for now i may not feel perfect but i do feel happy and thats one hell of an improvement,joy,fear,joy,joy
i feel impressed to discuss sin again though i do not know why,surprise,fear,surprise,joy
i do not feel that i could ever harm an innocent girl in such a way never have i imagined such dire consequences for not doing so,joy,fear,joy,sadness
i dont know if he ever cheated on me but it does looked like it cause he has known her for years and i appear in his life around that time and it makes me feel mad,anger,fear,anger,sadness
i feel so elegant so marvelous so irresistible in this frock that i will endure the discomfort,joy,fear,joy,joy
i can feel is horrible that for someone somewhere theyve felt that bad and worse,sadness,fear,sadness,sadness
i feel like im in such a strange place in life no one to take care of and no one who cares,fear,fear,surprise,sadness
i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,sadness,fear,sadness,sadness
i feel overwhelmed in a good way,fear,fear,surprise,joy
i feel successful as a lazy mom,joy,fear,joy,joy
i dont eat a lot of bread as i find carbohydrates leave me feeling groggy and expand my waistline faster than you can say why the heck dont my jeans fit,sadness,fear,sadness,joy
i suppose i am a bit on occasion but now ive become this horrible annoying person and i feel so strange about it,fear,fear,surprise,sadness
i really love the feel of these lipsticks and these colors are really gorgeous,joy,fear,joy,joy
im down to blogging again simply because im feeling very distracted though im suppose to study cell bio now,anger,fear,anger,joy
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,joy,fear,joy,joy
i am glad to know the reason for my recent lapse of sanity but i still feel like i want to go on a very violent rampage at the slightest inconvenience to me,anger,fear,anger,sadness
i cannot remember in which mix i heard this first and not remembering it is making me feeling all irritable,anger,fear,anger,sadness
i feel that stay is important too this word reminds me of a feeling i get sometimes,joy,fear,joy,joy
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger,fear,anger,sadness
i look forward to continuing this challenge and feel so appreciative for the boost to get my nutrition on a healthy track especially for my pregnancy the most important time in my life to be eating healthy,joy,fear,joy,joy
i wont discuss any further made me feel really restless,fear,fear,fear,sadness
i received a lousy results slip ive decided to retain i had the worst first few months in school i made friends in class friends who made my life easier in school who made me feel more accepted in the class,love,fear,joy,joy
i want to give up feel distracted or just need to remind myself of what i am working towards,anger,fear,anger,sadness
i slept deeply and still feel energetic and very well today,joy,fear,joy,joy
i love feeling brave,joy,fear,joy,joy
i also always feel a little scared,fear,fear,fear,sadness
i was not aware of his point of view as a white european who had undertaken this trip as a fulfillment of a childhood dream but maybe because of this awareness i was able to feel the tragic dawning marlowe experiences of humanitys ruthless rapacity and greed,sadness,fear,sadness,sadness
i feel so insulted because of a woman,anger,fear,anger,sadness
i think missy was about to abandon the project all together due to her not feeling like she had enough time but somehow i convinced her to come and finish up the last few songs we needed to have enough material for a full length,joy,fear,joy,joy
i don t want you to feel left out o faithful reader i love you too,love,fear,love,sadness
i feel more peaceful even though i dont think its very visible yet ive been trying to give less importance to the things that usually bother me like problems of organisation at my school for instance and focus more on trying to be happy and content with small things,joy,fear,joy,sadness
i feel like i should go for a run to expend all this idiotic energy but iv decided to do some homework now instead and store the energy for a social event im going to this evening,sadness,fear,sadness,sadness
i took a day off which is so unusual for me i almost feel naughty,love,fear,love,joy
i feel like i had fake everything,sadness,fear,sadness,sadness
i feel like special honored guests,joy,fear,joy,joy
i cant tell you the last time i have woken up feeling like i slept well,joy,fear,joy,joy
i dont know if you guys can relate but i always like to feel welcomed and see a smiling face when im having a spa treatment,joy,fear,joy,joy
i thought it d be and i got full marks on the questions which makes me feel quite clever,joy,fear,joy,joy
i am not normally the kind of person who gets emotional upon meeting a public figure but as strange as it sounds seeing you yesterday for the first time ever the feeling came over me was the feeling one might feel upon seeing a beloved favorite loving aunt lol,love,fear,surprise,joy
i think ive been feeling sentimental recently too,sadness,fear,sadness,sadness
i am now feeling the onset of an unpleasant sort of tourist panic,sadness,fear,sadness,sadness
i feel most of the time i think i look pretty cute,joy,fear,joy,joy
i feel so paranoid and im really gonna cut down the hours and frequencies of me wearing contact lenses,fear,fear,fear,joy
i always feel very threatened by her when it comes to guys cox you no she gets a lot of contact with the guys i like like my first and bf,fear,fear,fear,joy
i feel so fond of my friends,love,fear,love,joy
i think that now if i were to ride it without you or with another person present i would feel disheartened,sadness,fear,sadness,sadness
i must admit to my feelings of positive jealousy at times when i see their success,joy,fear,joy,joy
i hide this secret inside of me away from everyone because i feel ashamed and like i have no assistance in making it better,sadness,fear,sadness,sadness
i just feel kind of heartless now,anger,fear,anger,sadness
i feel good about the choices i made in terms of our readings,joy,fear,joy,joy
i wouldn t throw it in the ocean but i don t feel i would have missed something in my career if i don t win an oscar,sadness,fear,sadness,joy
i feel i deserve i get depressed,sadness,fear,sadness,sadness
i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face,fear,fear,fear,sadness
the possibility of having failed the examination,fear,fear,sadness,sadness
i am feeling a little homesick for colorado,sadness,fear,sadness,joy
i accepted his apology because i feel like he s remorseful for how he treated me,sadness,fear,sadness,sadness
i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s,joy,fear,joy,joy
i tried to make a cheerful comment about fitting her in but i feel really unwelcome,sadness,fear,sadness,sadness
i wasnt feeling very optimistic but this would be a nod to the universe that i was trying,joy,fear,joy,joy
i feel so lame and annoying and generally unliked sometimes,sadness,fear,sadness,sadness
when i happen to witness some sadistic acts,anger,fear,anger,sadness
i feel nervous but hes in control pretty soon,fear,fear,fear,joy
i kind of like the feeling that i am longing aching for spring,love,fear,love,joy
i feel sorry for people who work in capital intensive fields posted on a href http zackmdavis,sadness,fear,sadness,joy
i not seeing and feeling the divine,joy,fear,joy,sadness
i got a good feeling from the school and i have a lovely class,love,fear,love,joy
i fall victim to feeling inadequate if i am anywhere short of perfection in what i set of my expectations or what i perceive are the expectations of others,sadness,fear,sadness,sadness
i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent,fear,fear,fear,joy
i am feeling grumpy and irritated,anger,fear,anger,sadness
i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled,anger,fear,anger,sadness
i feel so unwelcome here now and im leaving tonight once benno finishes his motorcycle lesson,sadness,fear,sadness,joy
i am feeling good and the runs feel normal,joy,fear,joy,joy
i feel so dumb for being honest,sadness,fear,sadness,sadness
i feel that the classroom is extremely dangerous,anger,fear,anger,joy
i learned the hard way and after being here for about three hours you ll feel like you ve been here for months from all the friendly people you ll stop and talk to,joy,fear,joy,joy
i hate the feeling that i can t do anything useful,joy,fear,joy,sadness
when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger,fear,love,joy
i were alone i would feel more relaxed about taking photos but a camera to me now feels like a device that shouldnt be present at dining tables much like the phone,joy,fear,joy,joy
i was dwelling on the current state of my life i was unsure about my place in life and what i was going to do with it and i was feeling a bit bitter at god because of it,anger,fear,fear,sadness
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,fear,anger,sadness
i dont think thats what ill do because i feel its just really awkward,sadness,fear,sadness,joy
i used to want to get married so i feel a little heartbroken,sadness,fear,sadness,sadness
i am sleeping better but yet i feel even more exhausted than ever which i just dont understand,sadness,fear,sadness,sadness
i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there,surprise,fear,surprise,joy
i don t ever have to fully feel any unpleasant emotion,sadness,fear,sadness,sadness
